Image;ID;Method;EMR
FILE_021_20.jpg;FILE_021_20.jpg_h1;Spline;0.0000
FILE_021_20.jpg;FILE_021_20.jpg_h1;Poly3;0.2201
FILE_021_21.jpg;FILE_021_21.jpg_h1;Linear;0.0000
FILE_021_21.jpg;FILE_021_21.jpg_h1;Spline;0.0000
FILE_021_21.jpg;FILE_021_21.jpg_h1;Poly3;0.1162
FILE_021_22.jpg;FILE_021_22.jpg_h1;Linear;0.0000
FILE_021_22.jpg;FILE_021_22.jpg_h1;Spline;0.0000
FILE_021_22.jpg;FILE_021_22.jpg_h1;Poly3;0.0974
FILE_021_23.jpg;FILE_021_23.jpg_h1;Linear;0.0000
FILE_021_23.jpg;FILE_021_23.jpg_h1;Spline;0.0000
FILE_021_23.jpg;FILE_021_23.jpg_h1;Poly3;0.1147
FILE_021_24.jpg;FILE_021_24.jpg_h1;Linear;0.0000
FILE_021_24.jpg;FILE_021_24.jpg_h1;Spline;0.0000
FILE_021_24.jpg;FILE_021_24.jpg_h1;Poly3;0.1241
FILE_021_3.jpg;FILE_021_3.jpg_h1;Linear;0.0000
FILE_021_3.jpg;FILE_021_3.jpg_h1;Spline;0.0000
FILE_021_3.jpg;FILE_021_3.jpg_h1;Poly3;0.1078
FILE_021_4.jpg;FILE_021_4.jpg_h1;Linear;0.0000
FILE_021_4.jpg;FILE_021_4.jpg_h1;Spline;0.0000
FILE_021_4.jpg;FILE_021_4.jpg_h1;Poly3;0.1078
FILE_021_5.jpg;FILE_021_5.jpg_h1;Linear;0.0000
FILE_021_5.jpg;FILE_021_5.jpg_h1;Spline;0.0000
FILE_021_5.jpg;FILE_021_5.jpg_h1;Poly3;0.1078
FILE_021_6.jpg;FILE_021_6.jpg_h1;Linear;0.0000
FILE_021_6.jpg;FILE_021_6.jpg_h1;Spline;0.0000
FILE_021_6.jpg;FILE_021_6.jpg_h1;Poly3;0.1078
FILE_021_7.jpg;FILE_021_7.jpg_h1;Linear;0.0000
FILE_021_7.jpg;FILE_021_7.jpg_h1;Spline;0.0000
FILE_021_7.jpg;FILE_021_7.jpg_h1;Poly3;0.1078
FILE_021_8.jpg;FILE_021_8.jpg_h1;Linear;0.0000
FILE_021_8.jpg;FILE_021_8.jpg_h1;Spline;0.0000
FILE_021_8.jpg;FILE_021_8.jpg_h1;Poly3;0.1078
FILE_021_9.jpg;FILE_021_9.jpg_h1;Linear;0.0000
FILE_021_9.jpg;FILE_021_9.jpg_h1;Spline;0.0000
FILE_021_9.jpg;FILE_021_9.jpg_h1;Poly3;0.1078
FILE_022.jpg;FILE_022.jpg_h1;Linear;0.0000
FILE_022.jpg;FILE_022.jpg_h1;Spline;0.0000
FILE_022.jpg;FILE_022.jpg_h1;Poly3;0.1849
FILE_022_0.jpg;FILE_022_0.jpg_h1;Linear;0.0000
FILE_022_0.jpg;FILE_022_0.jpg_h1;Spline;0.0000
FILE_022_0.jpg;FILE_022_0.jpg_h1;Poly3;0.2876
FILE_022_1.jpg;FILE_022_1.jpg_h1;Linear;0.0000
FILE_022_1.jpg;FILE_022_1.jpg_h1;Spline;0.0000
FILE_022_1.jpg;FILE_022_1.jpg_h1;Poly3;0.2876
FILE_022_11.jpg;FILE_022_11.jpg_h1;Linear;0.0000
FILE_022_11.jpg;FILE_022_11.jpg_h1;Spline;0.0000
FILE_022_11.jpg;FILE_022_11.jpg_h1;Poly3;0.2876
FILE_022_12.jpg;FILE_022_12.jpg_h1;Linear;0.0000
FILE_022_12.jpg;FILE_022_12.jpg_h1;Spline;0.0000
FILE_022_12.jpg;FILE_022_12.jpg_h1;Poly3;0.2881
FILE_022_13.jpg;FILE_022_13.jpg_h1;Linear;0.0000
FILE_022_13.jpg;FILE_022_13.jpg_h1;Spline;0.0000
FILE_022_13.jpg;FILE_022_13.jpg_h1;Poly3;0.1897
FILE_022_15.jpg;FILE_022_15.jpg_h1;Linear;0.0000
FILE_022_15.jpg;FILE_022_15.jpg_h1;Spline;0.0000
FILE_022_15.jpg;FILE_022_15.jpg_h1;Poly3;0.2040
FILE_022_16.jpg;FILE_022_16.jpg_h1;Linear;0.0000
FILE_022_16.jpg;FILE_022_16.jpg_h1;Spline;0.0000
FILE_022_16.jpg;FILE_022_16.jpg_h1;Poly3;0.2881
FILE_022_17.jpg;FILE_022_17.jpg_h1;Linear;0.0000
FILE_022_17.jpg;FILE_022_17.jpg_h1;Spline;0.0000
FILE_022_17.jpg;FILE_022_17.jpg_h1;Poly3;0.2466
FILE_022_19.jpg;FILE_022_19.jpg_h1;Linear;0.0000
FILE_022_19.jpg;FILE_022_19.jpg_h1;Spline;0.0000
FILE_022_19.jpg;FILE_022_19.jpg_h1;Poly3;0.2896
FILE_022_2.jpg;FILE_022_2.jpg_h1;Linear;0.0000
FILE_022_2.jpg;FILE_022_2.jpg_h1;Spline;0.0000
